date,bltyy:weilai5
2015/2/24,-0.015021806
2015/2/23,0.021106383
2015/2/20,0.058983051
2015/2/19,0.006988353
2015/2/18,0.028234513
2015/2/17,-0.011940801
2015/2/16,-0.052817467
2015/2/13,-0.024350649
2015/2/12,-0.019540791
2015/2/11,0.003713707
2015/2/10,0.106394316
2015/2/9,0.062618596
2015/2/6,0.061538462
2015/2/5,0.018569464
2015/2/4,-0.010370891
2015/2/3,0.062889622
2015/2/2,0.014912281
2015/1/30,0.060346399
2015/1/29,0.074409821
2015/1/28,0.111926606
2015/1/27,0.171634121
2015/1/26,0.113479497
2015/1/23,0.100602785
2015/1/22,0.010298661
2015/1/21,-0.007142857
2015/1/20,0.010461538
2015/1/19,-0.001245589
2015/1/16,-0.006141249
2015/1/15,-0.018036072
2015/1/14,0.008064516
2015/1/13,-0.031369395
2015/1/12,0.017708333
2015/1/9,0.029715229
2015/1/8,-0.056942278
2015/1/7,-0.025857003
2015/1/6,-0.059192474
2015/1/5,-0.047937132
2015/1/2,-0.035183443
2014/12/31,-0.096620067
2014/12/30,-0.113466551
2014/12/29,-0.114936533
2014/12/26,-0.008580489
2014/12/24,-0.050571237
2014/12/23,-0.04322527
2014/12/22,-0.065637693
2014/12/19,-0.108431731
2014/12/18,-0.042316975
2014/12/17,0.005684668
2014/12/16,0.015006596
2014/12/15,0.005518395
2014/12/12,0.026933245
2014/12/11,-0.034076227
2014/12/10,-0.041416377
2014/12/9,-0.070418156
2014/12/8,-0.087317147
2014/12/5,-0.062953995
2014/12/4,-0.082390484
2014/12/3,-0.073455279
2014/12/2,-0.053120091
2014/12/1,-0.070474047
2014/11/28,-0.052891881
2014/11/27,-0.008426164
2014/11/26,-0.03831365
2014/11/25,-0.08306462
2014/11/24,-0.068824357
2014/11/21,-0.11813602
2014/11/20,-0.093827775
2014/11/19,-0.028324351
2014/11/18,0.001537476
2014/11/17,0.012625941
2014/11/14,0.016186141
2014/11/13,0.002386935
2014/11/12,0.002826674
2014/11/11,-0.017541661
2014/11/10,-0.026707692
2014/11/7,-0.027845628
2014/11/6,-0.062289157
2014/11/5,-0.03646022
2014/11/4,0.000985586
2014/11/3,-0.009436245
2014/10/31,-0.012375059
2014/10/30,-0.036412285
2014/10/29,-0.057259001
2014/10/28,-0.0472568
2014/10/27,-0.025397194
2014/10/24,0.00620391
2014/10/23,-0.00173913
2014/10/22,0.000692042
2014/10/21,0.018304204
2014/10/20,-0.011570057
2014/10/17,0.010663229
2014/10/16,0.006968641
2014/10/15,0.002248787
2014/10/14,0.03670385
2014/10/13,-0.003270264
2014/10/10,-0.02236857
2014/10/9,-0.060073423
2014/10/8,-0.062099224
2014/10/7,-0.065793781
2014/10/6,-0.039690328
2014/10/3,-0.031670796
2014/10/2,-0.036422764
2014/10/1,-0.0224
2014/9/30,-0.027052833
2014/9/29,-0.020780591
2014/9/26,-0.049654888
2014/9/25,-0.03250774
2014/9/24,-0.028748068
2014/9/23,-0.023586363
2014/9/22,0.001341036
2014/9/19,0.000516262
2014/9/18,-0.013519008
2014/9/17,-0.005429215
2014/9/16,-0.023962948
2014/9/15,-0.021717172
2014/9/12,0.003877551
2014/9/11,-0.001840491
2014/9/10,0.003739262
2014/9/9,0.002531646
2014/9/8,-0.012196351
2014/9/5,-0.024438903
2014/9/4,-0.020005942
2014/9/3,-0.030436917
2014/9/2,-0.030679043
2014/9/1,-0.023285269
2014/8/29,-0.01588694
2014/8/28,-0.011548913
2014/8/27,-0.001171074
2014/8/26,0.000389864
2014/8/25,0.00019497
2014/8/22,0.003701539
2014/8/21,0.003623898
2014/8/20,-0.000876424
2014/8/19,0.002835077
2014/8/18,-0.001167542
2014/8/15,0.003045486
2014/8/14,-0.006866538
2014/8/13,0.00205721
2014/8/12,-0.018150554
2014/8/11,-0.019364162
2014/8/8,-0.016081454
2014/8/7,-0.027994668
2014/8/6,-0.007207891
2014/8/5,-0.007553303
2014/8/4,0.004588471
2014/8/1,-0.003699839
2014/7/31,0.005723006
2014/7/30,-0.013488021
2014/7/29,-0.017838701
2014/7/28,-0.021444486
2014/7/25,-0.025378823
2014/7/24,-0.021865486
2014/7/23,-0.005230223
2014/7/22,-0.002869573
2014/7/21,0.002236094
2014/7/18,0.006593611
2014/7/17,-0.000653351
2014/7/16,-0.003872752
2014/7/15,0.01340761
2014/7/14,0.016712303
2014/7/11,0.003747424
2014/7/10,0.018023092
2014/7/9,-0.024410464
2014/7/8,-0.020711974
2014/7/7,-0.019474554
2014/7/4,-0.03066424
2014/7/3,-0.018267318
2014/7/2,-0.026202053
2014/7/1,-0.019897362
2014/6/30,-0.018837604
2014/6/27,-0.016192171
2014/6/26,-0.018731225
2014/6/25,-0.018902924
2014/6/24,-0.01745614
2014/6/23,-0.015158153
2014/6/20,-0.008236944
2014/6/19,-0.012818277
2014/6/18,-0.008005569
2014/6/17,-8.76E-05
2014/6/16,0.007148531
2014/6/13,0.016396348
2014/6/12,0.012511013
2014/6/11,0.008303887
2014/6/10,0.029155313
2014/6/9,0.029095221
2014/6/6,0.032193525
2014/6/5,0.039963252
2014/6/4,0.011204996
2014/6/3,0.014527621
2014/6/2,0.01019752
2014/5/30,0.000459559
2014/5/29,-0.005571285
2014/5/28,-0.018170255
2014/5/27,-0.010994003
2014/5/26,-0.012614575
2014/5/23,0.016620241
2014/5/22,-0.003350235
2014/5/21,-0.002989401
2014/5/20,-0.003166275
2014/5/19,-0.019482884
2014/5/16,0.00987564
2014/5/15,0.006473377
2014/5/14,0.000996106
2014/5/13,-0.002904866
2014/5/12,-0.000365631
2014/5/9,0.011621472
2014/5/8,0.022784107
2014/5/7,0.019811146
2014/5/6,0.01211953
2014/5/5,0.012230417
2014/5/2,0.003531927
2014/5/1,-0.008080808
2014/4/30,0.00362117
2014/4/29,-0.00952469
2014/4/28,-0.012120099
2014/4/25,0.007214206
2014/4/24,-0.01544931
2014/4/23,-0.020382281
2014/4/22,-0.002107385
2014/4/21,-0.011429094
2014/4/17,-0.005183703
2014/4/16,0.005739796
2014/4/15,-0.005195515
2014/4/14,0.005978661
2014/4/11,0.008529762
2014/4/10,0.0249323
2014/4/9,0.022079374
2014/4/8,0.008440775
2014/4/7,0.013572557
